name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,id,html,cluster,PC1,PC2,PC3,playlist
Se Eu Quiser Falar Com Deus                                                                                                                                                      ,Gilberto Gil                                    ,0.658,0.259,11,-13.141,0,0.0705,0.694,5.87e-05,0.975,0.306,110.376,256213,4,1n7JnwviZ7zf0LR1tcGFq7 ,https://open.spotify.com/track/1n7JnwviZ7zf0LR1tcGFq7,2,-0.39406043058536877,1.2254977337149502,-1.2723612372519355,Rhythmic Beats
Saudade De Bahia                                                                                                                                                                 ,Antônio Carlos Jobim                            ,0.742,0.399,2,-12.646,1,0.0346,0.217,1.88e-06,0.107,0.693,125.039,191867,4,5QGM1U0eCYrQuwSJwTm5Zq ,https://open.spotify.com/track/5QGM1U0eCYrQuwSJwTm5Zq,1,-0.24147428136872964,-1.6424360580682473,0.6690491784190666,Energetic Party Hits
"Canta Canta, Minha Gente                                                                                                                                                       ",Martinho Da Vila                                ,0.851,0.73,2,-11.048,1,0.347,0.453,6.34e-05,0.124,0.905,93.698,152267,4,0NLIFSZxPzQhCwnkn5PJYs ,https://open.spotify.com/track/0NLIFSZxPzQhCwnkn5PJYs,2,-2.045257692326183,0.6327269420051137,-0.26598094965135033,Rhythmic Beats
Mulher Eu Sei                                                                                                                                                                    ,Chico César                                     ,0.705,0.0502,4,-18.115,1,0.0471,0.879,4.05e-05,0.386,0.524,106.802,186227,4,3mXqOdlLE1k67WsAxryPFs ,https://open.spotify.com/track/3mXqOdlLE1k67WsAxryPFs,1,0.4064682999784339,-1.2559697434011565,0.36430007257794317,Energetic Party Hits
Rosa Morena                                                                                                                                                                      ,Kurt Elling                                     ,0.651,0.119,6,-19.807,1,0.038,0.916,0.000343,0.104,0.402,120.941,273680,4,7bSzjzjTkWT2CkIPPdp0eA ,https://open.spotify.com/track/7bSzjzjTkWT2CkIPPdp0eA,1,0.757069424191526,-1.5858223803001399,0.5363248076209822,Energetic Party Hits
Desafinado                                                                                                                                                                       ,Stan Getz                                       ,0.466,0.146,3,-17.5,1,0.0649,0.931,0.154,0.107,0.423,142.885,249387,4,5pstSsK0G4q86gdyy1Spqh ,https://open.spotify.com/track/5pstSsK0G4q86gdyy1Spqh,1,0.5867363518528154,-1.0492686084617548,0.8149606145113931,Energetic Party Hits
Madalena                                                                                                                                                                         ,Maria Gasolina                                  ,0.675,0.207,11,-13.82,0,0.0545,0.963,0.414,0.112,0.684,93.531,145187,4,33u3dO0JWjerYpFN61J3ug ,https://open.spotify.com/track/33u3dO0JWjerYpFN61J3ug,1,0.818707421247913,-1.3344973239477531,-1.6500925224427712,Energetic Party Hits
O Meu Amor É Glòria                                                                                                                                                              ,Sílvia Pérez Cruz                               ,0.504,0.733,7,-10.72,1,0.389,0.696,5.61e-05,0.673,0.886,96.565,309760,4,0ylJQpV3K4XnhWhLDMFmH7 ,https://open.spotify.com/track/0ylJQpV3K4XnhWhLDMFmH7,2,-2.8501979144302014,2.3038063375953586,-0.1824747587942962,Rhythmic Beats
Brigas Nunca Mais                                                                                                                                                                ,Paula Morelenbaum                               ,0.694,0.546,10,-11.452,1,0.04,0.398,0.076,0.153,0.641,170.032,204027,4,1wL2dk42Cxu4zCJs4SvFsZ ,https://open.spotify.com/track/1wL2dk42Cxu4zCJs4SvFsZ,1,-0.7593590013487038,-0.7766543314240628,1.3452877641460395,Energetic Party Hits
Previsao                                                                                                                                                                         ,Bossacucanova                                   ,0.674,0.864,1,-7.971,1,0.0382,0.641,0.358,0.139,0.536,99.995,181133,4,5iKuMCDh634YGrg2HrhtHp ,https://open.spotify.com/track/5iKuMCDh634YGrg2HrhtHp,1,-0.03702873749145998,-0.4389618518749701,0.4637199885832612,Energetic Party Hits
