Title,Rating
1. The Shawshank Redemption,9.3 (3M)
2. The Godfather,9.2 (2.1M)
3. The Dark Knight,9.0 (3M)
4. The Godfather Part II,9.0 (1.4M)
5. 12 Angry Men,9.0 (908K)
6. The Lord of the Rings: The Return of the King,9.0 (2.1M)
7. Schindler's List,9.0 (1.5M)
8. Pulp Fiction,8.9 (2.3M)
9. The Lord of the Rings: The Fellowship of the Ring,8.9 (2.1M)
"10. The Good, the Bad and the Ugly",8.8 (842K)
11. Forrest Gump,8.8 (2.3M)
12. The Lord of the Rings: The Two Towers,8.8 (1.8M)
13. Fight Club,8.8 (2.4M)
14. Inception,8.8 (2.6M)
15. Star Wars: Episode V - The Empire Strikes Back,8.7 (1.4M)
16. The Matrix,8.7 (2.1M)
17. Goodfellas,8.7 (1.3M)
18. One Flew Over the Cuckoo's Nest,8.7 (1.1M)
19. Interstellar,8.7 (2.3M)
20. Se7en,8.6 (1.9M)
21. It's a Wonderful Life,8.6 (522K)
22. Seven Samurai,8.6 (380K)
23. The Silence of the Lambs,8.6 (1.6M)
24. Saving Private Ryan,8.6 (1.5M)
25. City of God,8.6 (827K)
26. The Green Mile,8.6 (1.5M)
27. Life Is Beautiful,8.6 (768K)
28. Terminator 2: Judgment Day,8.6 (1.2M)
29. Star Wars: Episode IV - A New Hope,8.6 (1.5M)
30. Back to the Future,8.5 (1.4M)
31. Spirited Away,8.6 (893K)
32. The Pianist,8.5 (953K)
33. Gladiator,8.5 (1.7M)
34. Parasite,8.5 (1M)
35. Psycho,8.5 (744K)
36. The Lion King,8.5 (1.2M)
37. Grave of the Fireflies,8.5 (338K)
38. The Departed,8.5 (1.5M)
39. Whiplash,8.5 (1M)
40. Harakiri,8.6 (77K)
41. American History X,8.5 (1.2M)
42. The Prestige,8.5 (1.5M)
43. Léon: The Professional,8.5 (1.3M)
44. Spider-Man: Across the Spider-Verse,8.5 (434K)
45. Casablanca,8.5 (625K)
46. The Usual Suspects,8.5 (1.2M)
47. The Intouchables,8.5 (965K)
48. Cinema Paradiso,8.5 (297K)
49. Modern Times,8.5 (269K)
50. Alien,8.5 (1M)
51. Rear Window,8.5 (540K)
52. Once Upon a Time in the West,8.5 (363K)
